value,variants
Dharamjaigarh,Dharamjaigarh |
Gharghoda,Gharghoda |
Kharsia,Kharsia |
Kirodimalnagar,Kirodimalnagar |
Lailunga,Lailunga |
Pusaur,Pusaur |
Sarangarh,Sarangarh |
Sariya,Sariya |
Raipur,Raipur |Raipur |
Raipur,Raipur |
Abhanpur,Abhanpur |
Arang,Arang |
Baloda Bazar,Baloda Bazar |
Bhatapara,Bhatapara |
Bhatgaon,Bhatgaon |
Bilaigarh,Bilaigarh |
Birgaon,Birgaon |
Chhura,Chhura |
Fingeshwar,Fingeshwar |
Gariyaband,Gariyaband |
Gobra Nawapara,Gobra Nawapara |
Kasdol,Kasdol |
Kharora,Kharora |
Koora,Koora |
Lawan,Lawan |
Palari,Palari |
Rajim,Rajim |
Simga,Simga |
Tilda Newra,Tilda Newra |
Tundra,Tundra |
Rajnandgaon,Rajnandgaon |Rajnandgaon |
Rajnandgaon,Rajnandgaon |
Ambagarh Chowki,Ambagarh Chowki |
Chhuikhadan,Chhuikhadan |
Chhuriya,Chhuriya |
Dongargaon,Dongargaon |
Dongargarh,Dongargarh |
Gandai,Gandai |
Khairagarh,Khairagarh |
Surguja,Surguja |Ambikapur |
Ambikapur,Ambikapur |
Balrampur,Balrampur |
Bhatgaon,Bhatgaon |
Bishrampur,Bishrampur |
Jarhi,Jarhi |
Kusmi,Kusmi |
Lakhanpur,Lakhanpur |
Pratappur,Pratappur |
Premnagar,Premnagar |
Rajpur,Rajpur |
Ramanujganj,Ramanujganj |
Sitapur,Sitapur |
Surajpur,Surajpur |
Wadrafnagar,Wadrafnagar |
Bijapur,Bijapur |Bijapur |
Bijapur,Bijapur |
Bhairamgarh,Bhairamgarh |
Bhopalpattanam,Bhopalpattanam |
Narayanpur,Narayanpur |Narayanpur |
Narayanpur,Narayanpur |
Sukma,Sukma |Sukma |
Sukma,Sukma |
Kondagaon,Kondagaon |Kondagaon |
Kondagaon,Kondagaon |
Baloda Bazar,Baloda Bazar |Baloda Bazar |
Baloda Bazar,Baloda Bazar |
Gariyaband,Gariyaband |Gariyaband |
Gariyaband,Gariyaband |
Balod,Balod |Balod |
Balod,Balod |
Mungeli,Mungeli |Mungeli |
Mungeli,Mungeli |
Surajpur,Surajpur |Surajpur |
Surajpur,Surajpur |
Balrampur,Balrampur |Balrampur |
Balrampur,Balrampur |
Bemetara,Bemetara |Bemetara |
Bemetara,Bemetara |
Gaurella Pendra Marwahi,Gaurella Pendra Marwahi |Gaurella |
Gaurella,Gaurella |
Khairgarh Chhuikhadan Gandai,Khairgarh Chhuikhadan Gandai |Khairagarh |
Khairagarh,Khairagarh |
Manendragarh Chirimiri Bharatpur,Manendragarh Chirimiri Bharatpur |Manendragarh |
Manendragarh,Manendragarh |
Mohla Manpur Ambagarh Chouki,Mohla Manpur Ambagarh Chouki |Ambagarh Chouk |
Mohla,Mohla |
Sakti,Sakti |Sakti |
Sakti,Sakti |
Sarangarh Bilaigarh,Sarangarh Bilaigarh |Sarangarh |
Sarangarh,Sarangarh |
Madhya Pradesh,Madhya Pradesh |
Anuppur,Anuppur |Anuppur |
Anuppur,Anuppur |
Amarkantak,Amarkantak |
Bijuri,Bijuri |
Jaithari,Jaithari |
Kotma,Kotma |
Pasan,Pasan |
Ashoknagar,Ashoknagar |Ashoknagar |
Ashoknagar,Ashoknagar |
Chanderi,Chanderi |
Isagarh,Isagarh |
Mungaoli,Mungaoli |
Shadora,Shadora |
Balaghat,Balaghat |Balaghat |
Balaghat,Balaghat |
Baihar,Baihar |
Katangi,Katangi |
Lanji,Lanji |
Malajkhand,Malajkhand |
Waraseoni,Waraseoni |
Barwani,Barwani |Barwani |
Barwani,Barwani |
Anjad,Anjad |
Khetia,Khetia |
Palsud,Palsud |
Pansemal,Pansemal |
Rajpur,Rajpur |
Sendhwa,Sendhwa |
Betul,Betul |Betul |
Betul,Betul |
Amla,Amla |
Athner,Athner |
Bhainsdehi,Bhainsdehi |
Chicholi,Chicholi |
Multai,Multai |
Sarni,Sarni |
Bhind,Bhind |Bhind |
Bhind,Bhind |
Akoda,Akoda |
Alampur,Alampur |
Daboh,Daboh |
Gohad,Gohad |
Gormi,Gormi |
Lahar,Lahar |
Mau,Mau |
Mehgaon,Mehgaon |
Mihona,Mihona |
Phuphkalan,Phuphkalan |
Bhopal,Bhopal |Bhopal |
Bhopal,Bhopal |
Berasia,Berasia |
Burhanpur,Burhanpur |Burhanpur |
Burhanpur,Burhanpur |
Nepanagar,Nepanagar |
Shahpur,Shahpur |
Chhatarpur,Chhatarpur |Chhatarpur |
Chhatarpur,Chhatarpur |
Bada Malhera,Bada Malhera |
Barigarh,Barigarh |
Bijawar,Bijawar |
Buxwaha,Buxwaha |
Chandla,Chandla |
Ghuwara,Ghuwara |
Harpalpur,Harpalpur |
Khajuraho,Khajuraho |
Laundi,Laundi |
Maharajpur,Maharajpur |
Nowgong,Nowgong |
Rajnagar,Rajnagar |
Satai,Satai |
Chhindwara,Chhindwara |Chhindwara |
Chhindwara,Chhindwara |
Amarwara,Amarwara |
Badkuhi,Badkuhi |
Bichua,Bichua |
Chand,Chand |
Chaurai Khas,Chaurai Khas |
Damua,Damua |
Dongar Parasia,Dongar Parasia |
Harrai,Harrai |
Jamai,Jamai |
Lodhikheda,Lodhikheda |
Mohgaon,Mohgaon |
Neuton Chikhli Kalan,Neuton Chikhli Kalan |
Pandhurna,Pandhurna |
Piplanarayanwar,Piplanarayanwar |
Sausar,Sausar |
Damoh,Damoh |Damoh |
Damoh,Damoh |
Hatta,Hatta |
Hindoria,Hindoria |
Patera,Patera |
Patharia,Patharia |
Tendukheda,Tendukheda |
Datia,Datia |Datia |
Datia,Datia |
Badoni,Badoni |
Bhander,Bhander |
Indergarh,Indergarh |
Seondha,Seondha |
Dewas,Dewas |Dewas |
Dewas,Dewas |
Bagli,Bagli |
Bhaurasa,Bhaurasa |
Hatpiplya,Hatpiplya |
Kannod,Kannod |
Kantaphod,Kantaphod |
Karnawad,Karnawad |
Khategaon,Khategaon |
Loharda,Loharda |
Nemawar,Nemawar |
Pipalrawan,Pipalrawan |
Satwas,Satwas |
Sonkatch,Sonkatch |
Tonk Khurd,Tonk Khurd |
Dhar,Dhar |Dhar |
Dhar,Dhar |
Badnawar,Badnawar |
Dahi,Dahi |
Dhamnod,Dhamnod |
Dharampuri,Dharampuri |
Kukshi,Kukshi |
Manawar,Manawar |
Mandav,Mandav |
Pithampur,Pithampur |
Rajgarh,Rajgarh |
Sardarpur,Sardarpur |
Dindori,Dindori |Dindori |
Dindori,Dindori |
Shahpura,Shahpura |
East Nimar,East Nimar |Khandwa |
Khandwa,Khandwa |
Chhanera,Chhanera |
Mundi,Mundi |
Omkareshwar,Omkareshwar |
Pandhana,Pandhana |
Guna,Guna |Guna |
Guna,Guna |
Aron,Aron |
Kumbhraj,Kumbhraj |
Gwalior,Gwalior |Gwalior |
Gwalior,Gwalior |
Antari,Antari |
Bhitarwar,Bhitarwar |
Bilaua,Bilaua |
Dabra,Dabra |
Pichhore,Pichhore |
Harda,Harda |Harda |
Harda,Harda |
Khirkiya,Khirkiya |
Timarni,Timarni |
Hoshangabad,Hoshangabad |Hoshangabad |
Hoshangabad,Hoshangabad |
Babai,Babai |
Bankhedi,Bankhedi |
Itarsi,Itarsi |
Pipariya,Pipariya |
Sohagpur,Sohagpur |
Indore,Indore |Indore |
Indore,Indore |
Betma,Betma |
Depalpur,Depalpur |
Hatod,Hatod |
Manpur,Manpur |
Mhowgaon,Mhowgaon |
Rau,Rau |
Sawer,Sawer |
Jabalpur,Jabalpur |Jabalpur |
Jabalpur,Jabalpur |
Barela,Barela |
Bhedaghat,Bhedaghat |
Katangi,Katangi |
Majholi,Majholi |
Panagar,Panagar |
Patan,Patan |
Shahpura,Shahpura |
Sihora,Sihora |
Jhabua,Jhabua |Jhabua |
Jhabua,Jhabua |
Meghnagar,Meghnagar |
Petlawad,Petlawad |
Ranapur,Ranapur |
Thandla,Thandla |
Katni,Katni |Katni |
Katni,Katni |
Barhi,Barhi |
Kymore,Kymore |
Murwara,Murwara |
Vijayraghavgarh,Vijayraghavgarh |
Khargone,Khargone |Khargone |West Nimar |
Khargone,Khargone |
Barwaha,Barwaha |
Bhikangaon,Bhikangaon |
Kaarahi and Pandlyakhurd,Kaarahi and Pandlyakhurd |
Kasrawad,Kasrawad |
Maheshwar,Maheshwar |
Mandleshwar,Mandleshwar |
Sanawad,Sanawad |
Mandla,Mandla |Mandla |
Mandla,Mandla |
Bamhani,Bamhani |
Bichhiya,Bichhiya |
Nainpur,Nainpur |
Niwas,Niwas |
Mandsaur,Mandsaur |Mandsaur |
Mandsaur,Mandsaur |
Bhanpura,Bhanpura |
Garoth,Garoth |
Malhargarh,Malhargarh |
Nagri,Nagri |
Narayangarh,Narayangarh |
Piplya Mandi,Piplya Mandi |
Shamgarh,Shamgarh |
Sitamau,Sitamau |
Suwasara,Suwasara |
Morena,Morena |Morena |
Morena,Morena |
Ambah,Ambah |
Bamor,Bamor |
Jhundpura,Jhundpura |
Joura,Joura |
Kailaras,Kailaras |
Porsa,Porsa |
Sabalgarh,Sabalgarh |
Narsinghpur,Narsinghpur |Narsinghpur |Narsimhapur |
Narsinghpur,Narsinghpur |
Chichli,Chichli |
Gadarwara,Gadarwara |
Gotegaon,Gotegaon |
Kareli,Kareli |
Narsimhapur,Narsimhapur |
Saikeda,Saikeda |
Salichauka,Salichauka |
Tendukheda,Tendukheda |
Neemuch,Neemuch |Neemuch |
Neemuch,Neemuch |
Athana,Athana |
Diken,Diken |
Jawad,Jawad |
Jiran,Jiran |
Kukdeshwar,Kukdeshwar |
Manasa,Manasa |
Nayagaon,Nayagaon |
Rampura,Rampura |
Ratangarh,Ratangarh |
Sarwaniya maharaj,Sarwaniya maharaj |
Singoli,Singoli |
Panna,Panna |Panna |
Panna,Panna |
Ajaigarh,Ajaigarh |
Amanganj,Amanganj |
Devendranagar,Devendranagar |
Kakarhati,Kakarhati |
Pawai,Pawai |
Raisen,Raisen |Raisen |
Raisen,Raisen |
Badi,Badi |
Baraily,Baraily |
Begamganj,Begamganj |
Gairatganj,Gairatganj |
Mandideep,Mandideep |
Obedullaganj,Obedullaganj |
Sanchi,Sanchi |
Silwani,Silwani |
Sultanpur,Sultanpur |
Udaipura,Udaipura |
Rajgarh,Rajgarh |Rajgarh |
Rajgarh,Rajgarh |
Biaora,Biaora |
Boda,Boda |
Chhapiheda,Chhapiheda |
Jirapur,Jirapur |
Khilchipur,Khilchipur |
Khujner,Khujner |
Kurawar,Kurawar |
Machalpur,Machalpur |
Narsinghgarh,Narsinghgarh |
Pachore,Pachore |
Sarangpur,Sarangpur |
Suthaliya,Suthaliya |
Talen,Talen |
Ratlam,Ratlam |Ratlam |
Ratlam,Ratlam |
Alot,Alot |
Badawada,Badawada |
Dhamnod,Dhamnod |
Jaora,Jaora |
Namli,Namli |
Piploda,Piploda |
Sailana,Sailana |
Tal,Tal |
Rewa,Rewa |Rewa |
Rewa,Rewa |
Baikunthpur,Baikunthpur |
Chakghat,Chakghat |
Govindgarh,Govindgarh |
Gurh,Gurh |
Hanumana,Hanumana |
Mangawan,Mangawan |
Mauganj,Mauganj |
Naigarhi,Naigarhi |
Semaria,Semaria |
Sirmour,Sirmour |
Teonthar,Teonthar |
Sagar,Sagar |Sagar |
Sagar,Sagar |
Banda,Banda |
Deori,Deori |
Garhakota,Garhakota |
Khurai,Khurai |
Makronia Buzurg,Makronia Buzurg |
Rahatgarh,Rahatgarh |
Rehli,Rehli |
Shahgarh,Shahgarh |
Shahpur,Shahpur |
Satna,Satna |Satna |
Satna,Satna |
Amarpatan,Amarpatan |
Birsinghpur,Birsinghpur |
Chitrakoot,Chitrakoot |
Jaitwara,Jaitwara |
Kotar,Kotar |
Kothi,Kothi |
Maihar,Maihar |
Nagod,Nagod |
New Ramnagar,New Ramnagar |
Rampur Baghelan,Rampur Baghelan |
Unchahara,Unchahara |
Sehore,Sehore |Sehore |
Sehore,Sehore |
Ashta,Ashta |
Budni,Budni |
Ichhawar,Ichhawar |
Jawar,Jawar |
Kothri,Kothri |
Nasrullaganj,Nasrullaganj |
Rehti,Rehti |
Shahganj,Shahganj |
Seoni,Seoni |Seoni |
Seoni,Seoni |
Barghat,Barghat |
Chhapra,Chhapra |
Lakhnadon,Lakhnadon |
Shahdol,Shahdol |Shahdol |
Shahdol,Shahdol |
Beohari,Beohari |
Burhar,Burhar |
Dhanpuri,Dhanpuri |
Jaisinghnagar,Jaisinghnagar |
Khand,Khand |
Shajapur,Shajapur |Shajapur |
Shajapur,Shajapur |
Agar,Agar |
Akodia,Akodia |
Badagaon,Badagaon |
Badod,Badod |
Kanad,Kanad |
Maksi,Maksi |
Nalkheda,Nalkheda |
Paankhedi,Paankhedi |
Polaykalan,Polaykalan |
Shujalpur,Shujalpur |
Soyatkalan,Soyatkalan |
Susner,Susner |
Sheopur,Sheopur |Sheopur |
Sheopur,Sheopur |
Badoda,Badoda |
Vijaypur,Vijaypur |
Shivpuri,Shivpuri |Shivpuri |
Shivpuri,Shivpuri |
Badarwas,Badarwas |
Beraidh,Beraidh |
Karera,Karera |
Khaniyadhana,Khaniyadhana |
Kolaras,Kolaras |
Narwar,Narwar |
Pichhore,Pichhore |
Sidhi,Sidhi |Sidhi |
Sidhi,Sidhi |
Churhat,Churhat |
Majhauli,Majhauli |
Rampur Naikin,Rampur Naikin |
Tikamgarh,Tikamgarh |Tikamgarh |
Tikamgarh,Tikamgarh |
Badagaon,Badagaon |
Baldeogarh,Baldeogarh |
Jatara,Jatara |
Jeron Khalsa,Jeron Khalsa |
Kari,Kari |
Khargapur,Khargapur |
Lidhora Khas,Lidhora Khas |
Niwari,Niwari |
Orchha,Orchha |
Palera,Palera |
Prithvipur,Prithvipur |
Tarichar Kalan,Tarichar Kalan |
Ujjain,Ujjain |Ujjain |
Ujjain,Ujjain |
Badnagar,Badnagar |
Khacharod,Khacharod |
Mahidpur,Mahidpur |
Makdon,Makdon |
Nagda,Nagda |
Tarana,Tarana |
Unhel,Unhel |
Umaria,Umaria |Umaria |
Umaria,Umaria |
Chandia,Chandia |
Nowrozabad,Nowrozabad |
Pali,Pali |
Vidisha,Vidisha |Vidisha |
Vidisha,Vidisha |
Basoda,Basoda |
Kurwai,Kurwai |
Lateri,Lateri |
Shamshabad,Shamshabad |
Sironj,Sironj |
Singrauli,Singrauli |Singrauli |
Singrauli,Singrauli |
Alirajpur,Alirajpur |Alirajpur |
Alirajpur,Alirajpur |
Bhavra,Bhavra |
Jobat,Jobat |
Agar Malwa,Agar Malwa |Agar Malwa |
Agar Malwa,Agar Malwa |
Niwari,Niwari |Niwari |
Niwari,Niwari |
Gujarat,Gujarat |Gurjarabhumi |Gurjara |
Ahmadabad,Ahmadabad |Ahmedabad |
Ahmadabad,Ahmadabad |
Bareja,Bareja |
Barwala,Barwala |
Bavla,Bavla |
Bopal,Bopal |
Dhandhuka,Dhandhuka |
Dholka,Dholka |
Sanand,Sanand |
Viramgam,Viramgam |
Amreli,Amreli |Amreli |
Amreli,Amreli |
Babra,Babra |
Bagasara,Bagasara |
Chalala,Chalala |
Damnagar,Damnagar |
Jafrabad,Jafrabad |
Lathi,Lathi |
Rajula,Rajula |
Savarkundla,Savarkundla |
Anand,Anand |Anand |
Anand,Anand |
Anklav,Anklav |
Boriavi,Boriavi |
Borsad,Borsad |
Karamsad,Karamsad |
Khambhat,Khambhat |
Ode,Ode |
Petlad,Petlad |
Sojitra,Sojitra |
Umreth,Umreth |
Vallabh Vidyanagar,Vallabh Vidyanagar |
Banas Kantha,Banas Kantha |Banaskantha |
Palanpur,Palanpur |
Bhabhar,Bhabhar |
Deesa,Deesa |
Dhanera,Dhanera |
Thara,Thara |
Tharad,Tharad |
Bharuch,Bharuch |Bharuch |
Bharuch,Bharuch |
Amod,Amod |
Anklesvar,Anklesvar |
Jambusar,Jambusar |
Bhavnagar,Bhavnagar |Bhavnagar |
Bhavnagar,Bhavnagar |
Botad,Botad |
Gadhada,Gadhada |
Gariadhar,Gariadhar |
Mahuva,Mahuva |
Palitana,Palitana |
Sihor,Sihor |
Talaja,Talaja |
Vallabhipur,Vallabhipur |
Dang,Dang |Dang |The Dangs |
Ahwa,Ahwa |
Saputara,Saputara |
Dohad,Dohad |Dahod |
Dohad,Dohad |
Devgadbaria,Devgadbaria |
Jhalod,Jhalod |
Gandhinagar,Gandhinagar |Gandhinagar |
Gandhinagar,Gandhinagar |
Dehgam,Dehgam |
Kalol,Kalol |
Mansa,Mansa |
Pethapur,Pethapur |
Jamnagar,Jamnagar |Jamnagar |
Jamnagar,Jamnagar |
Bhanvad,Bhanvad |
Dhrol,Dhrol |
Dwarka,Dwarka |
Jamjodhpur,Jamjodhpur |
Kalavad,Kalavad |
Khambhalia,Khambhalia |
Okha,Okha |
Raval,Raval |
Salaya,Salaya |
Sikka,Sikka |
Junagadh,Junagadh |Junagadh |
Junagadh,Junagadh |
Bantwa,Bantwa |
Chorvad,Chorvad |
Keshod,Keshod |
Kodinar,Kodinar |
Manavadar,Manavadar |
Mangrol,Mangrol |
Sutrapada,Sutrapada |
Talala,Talala |
Una,Una |
Vanthali,Vanthali |
Veraval,Veraval |
Visavadar,Visavadar |
Kachchh,Kachchh |Kutch |
Bhuj,Bhuj |
Anjar,Anjar |
Bhachau,Bhachau |
Gandhidham,Gandhidham |
Mandvi,Mandvi |
Rapar,Rapar |
Kheda,Kheda |Kheda |
Nadiad,Nadiad |
Balasinor,Balasinor |
Chaklasi,Chaklasi |
Dakor,Dakor |
Kanjari,Kanjari |
Kapadvanj,Kapadvanj |
Kathlal,Kathlal |
Kheda,Kheda |
Mahudha,Mahudha |
Mehmedabad,Mehmedabad |
Thasra,Thasra |
Mahesana,Mahesana |Mehsana |
Mahesana,Mahesana |
Kadi,Kadi |
Kheralu,Kheralu |
Unjha,Unjha |
Vadnagar,Vadnagar |
Vijapur,Vijapur |
Visnagar,Visnagar |
Narmada,Narmada |Narmada |
Rajpipla,Rajpipla |
Navsari,Navsari |Navsari |
Navsari,Navsari |
Bilimora,Bilimora |
Gandevi,Gandevi |
Vijalpor,Vijalpor |
Panch Mahals,Panch Mahals |Panchmahal |
Godhra,Godhra |
Halol,Halol |
Kalol,Kalol |
Lunawada,Lunawada |
Santrampur,Santrampur |
Shehera,Shehera |
Patan,Patan |Patan |
Patan,Patan |
Chanasma,Chanasma |
Harij,Harij |
Radhanpur,Radhanpur |
Sidhpur,Sidhpur |
Porbandar,Porbandar |Porbandar |
Porbandar,Porbandar |
Chhaya,Chhaya |
Kutiyana,Kutiyana |
Ranavav,Ranavav |
Rajkot,Rajkot |Rajkot |
Rajkot,Rajkot |
Bhayavadar,Bhayavadar |
Dhoraji,Dhoraji |
Gondal,Gondal |
Jasdan,Jasdan |
Jetpur Navagadh,Jetpur Navagadh |
Maliya,Maliya |
Morvi,Morvi |
Upleta,Upleta |
Wankaner,Wankaner |
Sabar Kantha,Sabar Kantha |Sabarkantha |
Himatnagar,Himatnagar |
Bayad,Bayad |
Idar,Idar |
Khedbrahma,Khedbrahma |
Modasa,Modasa |
Prantij,Prantij |
Talod,Talod |
Vadali,Vadali |
Surat,Surat |Surat |
Surat,Surat |
Bardoli,Bardoli |
Kadodara,Kadodara |
Kansad,Kansad |
Mandvi,Mandvi |
Sachin,Sachin |
Tarsadi,Tarsadi |
Surendranagar,Surendranagar |Surendranagar |
Surendranagar,Surendranagar |
Chotila,Chotila |
Dhrangadhra,Dhrangadhra |
Halvad,Halvad |
Limbdi,Limbdi |
Patdi,Patdi |
Surendranagar Dudhrej,Surendranagar Dudhrej |
Thangadh,Thangadh |
Wadhwan,Wadhwan |
Vadodara,Vadodara |Vadodara |
Vadodara,Vadodara |
Chhota Udaipur,Chhota Udaipur |
Dabhoi,Dabhoi |
Karjan,Karjan |
Padra,Padra |
Savli,Savli |
Valsad,Valsad |Valsad |
Valsad,Valsad |
Dharampur,Dharampur |
Pardi,Pardi |
Umbergaon,Umbergaon |
Vapi,Vapi |
Tapi,Tapi |Tapi |
Vyara,Vyara |
Songadh,Songadh |
Chhotaudepur,Chhotaudepur |Chhota Udepur |
Chhotaudepur,Chhotaudepur |
Mahisagar,Mahisagar |Mahisagar |
Lunavada,Lunavada |
Arvalli,Arvalli |Aravalli |
Modasa,Modasa |
Morbi,Morbi |Morbi |
Morbi,Morbi |
Devbhumi Dwarka,Devbhumi Dwarka |Devbhoomi Dwarka |
Khambhalia,Khambhalia |
Gir Somnath,Gir Somnath |Gir Somnath |
Veraval,Veraval |
Botad,Botad |Botad |
Botad,Botad |
Maharashtra,Maharashtra |
Ahmednagar,Ahmednagar |Ahmednagar |Ahmadnagar |
Ahmednagar,Ahmednagar |
Ahmadnagar,Ahmadnagar |
Akole,Akole |
Deolali Pravara,Deolali Pravara |
Jamkhed,Jamkhed |
Karjat,Karjat |
Kopargaon,Kopargaon |
Nevasa,Nevasa |
Parner,Parner |
Pathardi,Pathardi |
Rahta Pimplas,Rahta Pimplas |
Rahuri,Rahuri |
Sangamner,Sangamner |
Shevgaon,Shevgaon |
Shirdi,Shirdi |
Shrigonda,Shrigonda |
Shrirampur,Shrirampur |
Akola,Akola |Akola |
Akola,Akola |
Akot,Akot |
Balapur,Balapur |
Barshi Takali,Barshi Takali |
Murtijapur,Murtijapur |
Patur,Patur |
Telhara,Telhara |
Amravati,Amravati |Amravati |
Amravati,Amravati |
Achalpur,Achalpur |
Anjangaon,Anjangaon |
Bhatukali,Bhatukali |
Chandur Railway,Chandur Railway |
Chandurbazar,Chandurbazar |
Chikhaldara,Chikhaldara |
Daryapur Banosa,Daryapur Banosa |
Dattapur Dhamangaon,Dattapur Dhamangaon |
Dharni,Dharni |
Morshi,Morshi |
Nandgaon Khandeshwar,Nandgaon Khandeshwar |
Shendurjana,Shendurjana |
Tivasa,Tivasa |
Warud,Warud |
Aurangabad,Aurangabad |Aurangabad |
Aurangabad,Aurangabad |
Fulambri,Fulambri |
Gangapur,Gangapur |
Kannad,Kannad |
Khuldabad,Khuldabad |
Paithan,Paithan |
Sillod,Sillod |
Soygaon,Soygaon |
Vaijapur,Vaijapur |
Beed,Beed |Beed |Bid |
Beed,Beed |
Ambejogai,Ambejogai |
Ashti,Ashti |
Bid,Bid |
Dharur,Dharur |
Georai,Georai |
Kaij,Kaij |
Manjlegaon,Manjlegaon |
Parli,Parli |
Patoda,Patoda |
Shirur,Shirur |
Vadvani,Vadvani |
Bhandara,Bhandara |Bhandara |
Bhandara,Bhandara |
Lakhani,Lakhani |
Lankhadur,Lankhadur |
Mohadi,Mohadi |
Motala,Motala |
Pauni,Pauni |
Sakoli,Sakoli |
Tumsar,Tumsar |
Buldhana,Buldhana |Buldhana |Buldana |
Buldhana,Buldhana |
Arni,Arni |
Buldana,Buldana |
Chikhli,Chikhli |
Deulgaon Raja,Deulgaon Raja |
Jalgaon Jamod,Jalgaon Jamod |
Khamgaon,Khamgaon |
Lonar,Lonar |
Malkapur,Malkapur |
Mehkar,Mehkar |
Nandura,Nandura |
Shegaon,Shegaon |
Sindkhed Raja,Sindkhed Raja |
Chandrapur,Chandrapur |Chandrapur |
Chandrapur,Chandrapur |
Ballarpur,Ballarpur |
Bhadravati,Bhadravati |
Brahmapuri,Brahmapuri |
Chimur,Chimur |
Gadchandur,Gadchandur |
Gondipimpari,Gondipimpari |
Jivati,Jivati |
Korpana,Korpana |
Mul,Mul |
Nagbhid,Nagbhid |
Pombhurna,Pombhurna |
Rajura,Rajura |
Sindevahi,Sindevahi |
Warora,Warora |
Dhule,Dhule |Dhule |
Dhule,Dhule |
Sakri,Sakri |
Shinkheda,Shinkheda |
Gadchiroli,Gadchiroli |Gadchiroli |
Gadchiroli,Gadchiroli |
Aheri,Aheri |
Armori,Armori |
Bhamaragad,Bhamaragad |
Charmoshi,Charmoshi |
Desaiganj,Desaiganj |
Dhanora,Dhanora |
Etapalli,Etapalli |
Korchi,Korchi |
Kurkheda,Kurkheda |
Gondia,Gondia |Gondia |Gondiya |
Gondia,Gondia |
Arjuni,Arjuni |
Deori,Deori |
Gondiya,Gondiya |
Goregaon,Goregaon |
Sadak Arjuni,Sadak Arjuni |
Salekasa,Salekasa |
Tirora,Tirora |
Hingoli,Hingoli |Hingoli |
Hingoli,Hingoli |
Aundha Nagnath,Aundha Nagnath |
Basmath,Basmath |
Kalamnuri,Kalamnuri |
Matha,Matha |
Sengaon,Sengaon |
Jalgaon,Jalgaon |Jalgaon |
Jalgaon,Jalgaon |
Amalner,Amalner |
Bhadgaon,Bhadgaon |
Bhusawal,Bhusawal |
Bodwad,Bodwad |
Chalisgaon,Chalisgaon |
Chopda,Chopda |
Dharangaon,Dharangaon |
Erandol,Erandol |
Faizpur,Faizpur |
Jamner,Jamner |
Muktainagar,Muktainagar |
Pachora,Pachora |
Parola,Parola |
Raver,Raver |
Savda,Savda |
Shendurni NP,Shendurni NP |
Varangaon,Varangaon |
Yawal,Yawal |
Jalna,Jalna |Jalna |
Jalna,Jalna |
Ambad,Ambad |
Badnapur,Badnapur |
Bhokardan,Bhokardan |
Ghansavangi,Ghansavangi |
Jafrabad,Jafrabad |
Partur,Partur |
Kolhapur,Kolhapur |Kolhapur |
Kolhapur,Kolhapur |
Gadhinglaj,Gadhinglaj |
Hupari,Hupari |
Ichalkaranji,Ichalkaranji |
Jaysingpur,Jaysingpur |
Kagal,Kagal |
Kurundvad,Kurundvad |
Malkapur,Malkapur |
Murgud,Murgud |
Panhala,Panhala |
Shirol,Shirol |
Vadgaon Kasba,Vadgaon Kasba |
Latur,Latur |Latur |
Latur,Latur |
Ahmadpur,Ahmadpur |
Ausa,Ausa |
Chakur,Chakur |
Devani,Devani |
Jalkot,Jalkot |
Nilanga,Nilanga |
Renapur,Renapur |
Shirur Anantpal,Shirur Anantpal |
Udgir,Udgir |
Mumbai,Mumbai |Mumbai |
Mumbai,Mumbai |
Greater Mumbai,Greater Mumbai |
Mumbai Suburban,Mumbai Suburban |Mumbai Suburban |
Andheri,Andheri |
Nagpur,Nagpur |Nagpur |
Nagpur,Nagpur |
Bhivapur,Bhivapur |
Butibori MC,Butibori MC |
Hingana,Hingana |
Kalameshwar,Kalameshwar |
Kamptee,Kamptee |
Kanhan,Kanhan |
Katol,Katol |
Khapa,Khapa |
Kuhi,Kuhi |
Mahadula,Mahadula |
Mohpa,Mohpa |
Mouda,Mouda |
Mowad,Mowad |
Narkhed,Narkhed |
Parshivani,Parshivani |
Ramtek,Ramtek |
Savner,Savner |
Umred,Umred |
Wadi,Wadi |
Wanadongari,Wanadongari |
Nanded,Nanded |Nanded |
Nanded,Nanded |
Ardhapur,Ardhapur |
Bhokar,Bhokar |
Biloli,Biloli |
Deglur,Deglur |
Dharmabad,Dharmabad |
Hadgaon,Hadgaon |
Himayatnagar,Himayatnagar |
Kandhar,Kandhar |
Kinwat,Kinwat |
Kundalwadi,Kundalwadi |
Loha,Loha |
Mahur,Mahur |
Mudkhed,Mudkhed |
Mukhed,Mukhed |
Naigaon,Naigaon |
Nanded Waghala,Nanded Waghala |
Nandurbar,Nandurbar |Nandurbar |
Nandurbar,Nandurbar |
Nawapur,Nawapur |
Shahade,Shahade |
Talode,Talode |
Nashik,Nashik |Nashik |
Nashik,Nashik |
Bhagur,Bhagur |
Chandvad,Chandvad |
Deola NP,Deola NP |
Deolali,Deolali |
Dindori,Dindori |
Igatpuri,Igatpuri |
Kalvan,Kalvan |
Malegaon,Malegaon |
Manmad,Manmad |
Nandgaon,Nandgaon |
Niphad,Niphad |
Peth,Peth |
Satana,Satana |
Sinnar,Sinnar |
Surgana,Surgana |
Trimbak,Trimbak |
Yevla,Yevla |
Osmanabad,Osmanabad |Osmanabad |
Osmanabad,Osmanabad |
